"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Sep 01 14:04:51 UTC 2025","Mon Sep 01 14:04:54 UTC 2025","2502","","Tests.SignInResetPasswordProfileWEB.LoginTest","","Tests.SignInResetPasswordProfileWEB.LoginTest","loginNegativeEmailTest","loginNegativeEmailTest()","Check Incorrect email in LogIn Page"
"passed","Mon Sep 01 14:04:05 UTC 2025","Mon Sep 01 14:04:07 UTC 2025","2121","","Tests.CRUDPosts.CreatePostValidationTests","","Tests.CRUDPosts.CreatePostValidationTests","geotechnicalReportLargeFileUploadErrorTest","geotechnicalReportLargeFileUploadErrorTest()","Check Upload Big File Error to Geotechnical Report"
"passed","Mon Sep 01 14:04:02 UTC 2025","Mon Sep 01 14:04:05 UTC 2025","2698","","Tests.CRUDPosts.CreatePostValidationTests","","Tests.CRUDPosts.CreatePostValidationTests","notesLargeFileUploadErrorTest","notesLargeFileUploadErrorTest()","Check Upload Big File Error to Notes"
"passed","Mon Sep 01 14:04:00 UTC 2025","Mon Sep 01 14:04:02 UTC 2025","2366","","Tests.CRUDPosts.CreatePostValidationTests","","Tests.CRUDPosts.CreatePostValidationTests","priceFieldValidationTest","priceFieldValidationTest()","Check Validation for Price Field"
"passed","Mon Sep 01 14:04:08 UTC 2025","Mon Sep 01 14:04:35 UTC 2025","27688","","Tests.CRUDPosts.CreatePositiveCasesPostsTest","","Tests.CRUDPosts.CreatePositiveCasesPostsTest","createPostWithAllOptionsTest","createPostWithAllOptionsTest()","Check Create Post with All Fields"
"passed","Mon Sep 01 14:03:53 UTC 2025","Mon Sep 01 14:03:55 UTC 2025","1986","","Tests.CRUDPosts.CreatePostValidationTests","","Tests.CRUDPosts.CreatePostValidationTests","notesFieldInvalidCharsTest","notesFieldInvalidCharsTest()","Check Validation for Notes Field"
"passed","Mon Sep 01 14:04:35 UTC 2025","Mon Sep 01 14:04:40 UTC 2025","5034","","Tests.CRUDPosts.CreatePositiveCasesPostsTest","","Tests.CRUDPosts.CreatePositiveCasesPostsTest","createPostWithMinimalOptionsTest","createPostWithMinimalOptionsTest()","Check Create Post only with Required Fields"
"passed","Mon Sep 01 14:03:58 UTC 2025","Mon Sep 01 14:04:00 UTC 2025","1935","","Tests.CRUDPosts.CreatePostValidationTests","","Tests.CRUDPosts.CreatePostValidationTests","companyNameFieldInvalidCharsTest","companyNameFieldInvalidCharsTest()","Check Validation for Company Name Field"
"passed","Mon Sep 01 14:04:45 UTC 2025","Mon Sep 01 14:04:46 UTC 2025","1481","","Tests.SignInResetPasswordProfileWEB.ResetPasswordTest","","Tests.SignInResetPasswordProfileWEB.ResetPasswordTest","positivePasswordReq","positivePasswordReq()","Check Correct email in Reset Password"
"passed","Mon Sep 01 14:04:54 UTC 2025","Mon Sep 01 14:04:56 UTC 2025","1926","","Tests.SignInResetPasswordProfileWEB.LoginTest","","Tests.SignInResetPasswordProfileWEB.LoginTest","loginNegativePasswordTest","loginNegativePasswordTest()","Check Incorrect Password in LogIn Page"
"passed","Mon Sep 01 14:03:46 UTC 2025","Mon Sep 01 14:03:48 UTC 2025","1847","","Tests.CRUDPosts.CreatePostValidationTests","","Tests.CRUDPosts.CreatePostValidationTests","checkHidedUploadFieldsInSupplyAnalysesAndGeotechnicalReportsTest","checkHidedUploadFieldsInSupplyAnalysesAndGeotechnicalReportsTest()","If Post type is Need: Check Hided Upload Fields In Supply Analyses and Geotechnical Reports"
"passed","Mon Sep 01 14:03:55 UTC 2025","Mon Sep 01 14:03:58 UTC 2025","2274","","Tests.CRUDPosts.CreatePostValidationTests","","Tests.CRUDPosts.CreatePostValidationTests","quantityFieldValidationTest","quantityFieldValidationTest()","Check Validation for Quantity Field"
"passed","Mon Sep 01 14:03:50 UTC 2025","Mon Sep 01 14:03:53 UTC 2025","3127","","Tests.CRUDPosts.CreatePostValidationTests","","Tests.CRUDPosts.CreatePostValidationTests","sliderDistanceValidationTest","sliderDistanceValidationTest()","Check Validation for Match Distance Slider"
"passed","Mon Sep 01 14:04:46 UTC 2025","Mon Sep 01 14:04:51 UTC 2025","4362","","Tests.SignInResetPasswordProfileWEB.ResetPasswordTest","","Tests.SignInResetPasswordProfileWEB.ResetPasswordTest","negativeConfirmingResetPass","negativeConfirmingResetPass()","Check alert about Incorrect Confirmation code in Reset Password 2nd step"
"passed","Mon Sep 01 14:04:56 UTC 2025","Mon Sep 01 14:04:58 UTC 2025","1980","","Tests.SignInResetPasswordProfileWEB.LoginTest","","Tests.SignInResetPasswordProfileWEB.LoginTest","loginPositiveTest","loginPositiveTest()","Verify that the user can log in with valid credentials"
"passed","Mon Sep 01 14:04:41 UTC 2025","Mon Sep 01 14:04:45 UTC 2025","3674","","Tests.SignInResetPasswordProfileWEB.ResetPasswordTest","","Tests.SignInResetPasswordProfileWEB.ResetPasswordTest","negativePasswordReq","negativePasswordReq()","Check Incorrect email in Reset Password"
"passed","Mon Sep 01 14:03:48 UTC 2025","Mon Sep 01 14:03:50 UTC 2025","2280","","Tests.CRUDPosts.CreatePostValidationTests","","Tests.CRUDPosts.CreatePostValidationTests","supplierAnalysisLargeFileUploadErrorTest","supplierAnalysisLargeFileUploadErrorTest()","Check Upload Big File Error to Supplier Analysis"
"passed","Mon Sep 01 14:03:42 UTC 2025","Mon Sep 01 14:03:46 UTC 2025","3700","","Tests.CRUDPosts.CreatePostValidationTests","","Tests.CRUDPosts.CreatePostValidationTests","checkClickCANCELButton","checkClickCANCELButton()","Check the Cancel button is work correct"
