"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jan 28 21:21:07 UTC 2026","Wed Jan 28 21:21:10 UTC 2026","2839","","Tests.CRUDPosts.CreatePostValidationTests","","Tests.CRUDPosts.CreatePostValidationTests","notesLargeFileUploadErrorTest","notesLargeFileUploadErrorTest()","Check Upload Big File Error to Notes"
"passed","Wed Jan 28 21:21:26 UTC 2026","Wed Jan 28 21:21:27 UTC 2026","1407","","Tests.SignInResetPasswordProfileWEB.ResetPasswordTest","","Tests.SignInResetPasswordProfileWEB.ResetPasswordTest","positivePasswordReq","positivePasswordReq()","Check Correct email in Reset Password"
"passed","Wed Jan 28 21:20:51 UTC 2026","Wed Jan 28 21:20:55 UTC 2026","4257","","Tests.CRUDPosts.CreatePostValidationTests","","Tests.CRUDPosts.CreatePostValidationTests","dumpsiteQuarryLogicTest","dumpsiteQuarryLogicTest()","If User select 'Dumpsite/Quarry' in Location Type. The quantity field should be disabled. Timeframe should be sets as 'Inventory' but not disabled"
"passed","Wed Jan 28 21:21:32 UTC 2026","Wed Jan 28 21:21:34 UTC 2026","2125","","Tests.SignInResetPasswordProfileWEB.LoginTest","","Tests.SignInResetPasswordProfileWEB.LoginTest","loginNegativeEmailTest","loginNegativeEmailTest()","Check Incorrect email in LogIn Page"
"passed","Wed Jan 28 21:20:44 UTC 2026","Wed Jan 28 21:20:46 UTC 2026","2378","","Tests.CRUDPosts.CreatePostValidationTests","","Tests.CRUDPosts.CreatePostValidationTests","supplierAnalysisLargeFileUploadErrorTest","supplierAnalysisLargeFileUploadErrorTest()","Check Upload Big File Error to Supplier Analysis"
"passed","Wed Jan 28 21:21:10 UTC 2026","Wed Jan 28 21:21:13 UTC 2026","2709","","Tests.CRUDPosts.CreatePostValidationTests","","Tests.CRUDPosts.CreatePostValidationTests","geotechnicalReportLargeFileUploadErrorTest","geotechnicalReportLargeFileUploadErrorTest()","Check Upload Big File Error to Geotechnical Report"
"passed","Wed Jan 28 21:21:23 UTC 2026","Wed Jan 28 21:21:26 UTC 2026","2814","","Tests.SignInResetPasswordProfileWEB.ResetPasswordTest","","Tests.SignInResetPasswordProfileWEB.ResetPasswordTest","negativePasswordReq","negativePasswordReq()","Check Incorrect email in Reset Password"
"broken","Wed Jan 28 21:21:22 UTC 2026","Wed Jan 28 21:21:22 UTC 2026","16","","Tests.CRUDPosts.EditPostTest","","Tests.CRUDPosts.EditPostTest","editPostWithOnlyRequiredFieldsTest","editPostWithOnlyRequiredFieldsTest()","Check that a user can Edit 'Post Orientation', 'Quantity', 'Material', 'Address', 'Location Type', 'Timeframe' Fields of an existing Post."
"broken","Wed Jan 28 21:20:39 UTC 2026","Wed Jan 28 21:20:39 UTC 2026","931","","Tests.CRUDPosts.CreatePositiveCasesPostsTest","","Tests.CRUDPosts.CreatePositiveCasesPostsTest","createPostWithMinimalOptionsTest","createPostWithMinimalOptionsTest()","Check Create Post only with Required Fields"
"broken","Wed Jan 28 21:21:13 UTC 2026","Wed Jan 28 21:21:18 UTC 2026","4242","","Tests.CRUDPosts.DeletePostTests","","Tests.CRUDPosts.DeletePostTests","deletePostFromPostDetailsTest","deletePostFromPostDetailsTest()","After creating Post, Check Deleting Post from Post Details with checking data in Deleting Modal PopUp"
"passed","Wed Jan 28 21:20:46 UTC 2026","Wed Jan 28 21:20:51 UTC 2026","4087","","Tests.CRUDPosts.CreatePostValidationTests","","Tests.CRUDPosts.CreatePostValidationTests","sliderDistanceValidationTest","sliderDistanceValidationTest()","Check Validation for Match Distance Slider"
"broken","Wed Jan 28 21:21:39 UTC 2026","Wed Jan 28 21:21:51 UTC 2026","11859","","Tests.SignInResetPasswordProfileWEB.ClickOnAllTabsTest","","Tests.SignInResetPasswordProfileWEB.ClickOnAllTabsTest","clickOnAllElementsInHeaderAndFooterTest","clickOnAllElementsInHeaderAndFooterTest()","Interact with Elements in Header & Footer"
"broken","Wed Jan 28 21:21:18 UTC 2026","Wed Jan 28 21:21:22 UTC 2026","3924","","Tests.CRUDPosts.EditPostTest","","Tests.CRUDPosts.EditPostTest","editPostWithOnlyOptionalFieldsTest","editPostWithOnlyOptionalFieldsTest()","Check that a user can Edit 'Match Distance', 'Price', 'Company Name', 'Need Hauler', 'Supply/Geotechnical Reports', 'All Contact Methods', 'Notes' Fields and add attachments of an existing Post."
"broken","Wed Jan 28 21:20:33 UTC 2026","Wed Jan 28 21:20:38 UTC 2026","5666","","Tests.CRUDPosts.CreatePositiveCasesPostsTest","","Tests.CRUDPosts.CreatePositiveCasesPostsTest","createPostWithAllOptionsTest","createPostWithAllOptionsTest()","Check Create Post with All Fields"
"passed","Wed Jan 28 21:21:01 UTC 2026","Wed Jan 28 21:21:04 UTC 2026","3074","","Tests.CRUDPosts.CreatePostValidationTests","","Tests.CRUDPosts.CreatePostValidationTests","companyNameFieldInvalidCharsTest","companyNameFieldInvalidCharsTest()","Check Validation for Company Name Field"
"passed","Wed Jan 28 21:20:58 UTC 2026","Wed Jan 28 21:21:01 UTC 2026","2770","","Tests.CRUDPosts.CreatePostValidationTests","","Tests.CRUDPosts.CreatePostValidationTests","quantityFieldValidationTest","quantityFieldValidationTest()","Check Validation for Quantity Field"
"passed","Wed Jan 28 21:21:36 UTC 2026","Wed Jan 28 21:21:39 UTC 2026","3181","","Tests.SignInResetPasswordProfileWEB.LoginTest","","Tests.SignInResetPasswordProfileWEB.LoginTest","loginPositiveTest","loginPositiveTest()","Verify that the user can log in with valid credentials"
"passed","Wed Jan 28 21:21:34 UTC 2026","Wed Jan 28 21:21:36 UTC 2026","1729","","Tests.SignInResetPasswordProfileWEB.LoginTest","","Tests.SignInResetPasswordProfileWEB.LoginTest","loginNegativePasswordTest","loginNegativePasswordTest()","Check Incorrect Password in LogIn Page"
"passed","Wed Jan 28 21:20:40 UTC 2026","Wed Jan 28 21:20:42 UTC 2026","1572","","Tests.CRUDPosts.CreatePostValidationTests","","Tests.CRUDPosts.CreatePostValidationTests","checkClickCANCELButton","checkClickCANCELButton()","Check the Cancel button is work correct"
"passed","Wed Jan 28 21:21:27 UTC 2026","Wed Jan 28 21:21:31 UTC 2026","3782","","Tests.SignInResetPasswordProfileWEB.ResetPasswordTest","","Tests.SignInResetPasswordProfileWEB.ResetPasswordTest","negativeConfirmingResetPass","negativeConfirmingResetPass()","Check alert about Incorrect Confirmation code in Reset Password 2nd step"
"passed","Wed Jan 28 21:20:42 UTC 2026","Wed Jan 28 21:20:44 UTC 2026","2097","","Tests.CRUDPosts.CreatePostValidationTests","","Tests.CRUDPosts.CreatePostValidationTests","checkHidedUploadFieldsInSupplyAnalysesAndGeotechnicalReportsTest","checkHidedUploadFieldsInSupplyAnalysesAndGeotechnicalReportsTest()","If Post type is Need: Check Hided Upload Fields In Supply Analyses and Geotechnical Reports"
"passed","Wed Jan 28 21:20:55 UTC 2026","Wed Jan 28 21:20:58 UTC 2026","2881","","Tests.CRUDPosts.CreatePostValidationTests","","Tests.CRUDPosts.CreatePostValidationTests","notesFieldInvalidCharsTest","notesFieldInvalidCharsTest()","Check Validation for Notes Field"
"passed","Wed Jan 28 21:21:04 UTC 2026","Wed Jan 28 21:21:07 UTC 2026","3486","","Tests.CRUDPosts.CreatePostValidationTests","","Tests.CRUDPosts.CreatePostValidationTests","priceFieldValidationTest","priceFieldValidationTest()","Check Validation for Price Field"
