"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Sep 01 16:12:34 UTC 2025","Mon Sep 01 16:12:36 UTC 2025","1700","","Tests.SignInResetPasswordProfileWEB.LoginTest","","Tests.SignInResetPasswordProfileWEB.LoginTest","loginNegativePasswordTest","loginNegativePasswordTest()","Check Incorrect Password in LogIn Page"
"passed","Mon Sep 01 16:12:22 UTC 2025","Mon Sep 01 16:12:25 UTC 2025","2990","","Tests.SignInResetPasswordProfileWEB.ResetPasswordTest","","Tests.SignInResetPasswordProfileWEB.ResetPasswordTest","negativePasswordReq","negativePasswordReq()","Check Incorrect email in Reset Password"
"passed","Mon Sep 01 16:11:24 UTC 2025","Mon Sep 01 16:11:28 UTC 2025","3803","","Tests.CRUDPosts.CreatePostValidationTests","","Tests.CRUDPosts.CreatePostValidationTests","checkClickCANCELButton","checkClickCANCELButton()","Check the Cancel button is work correct"
"passed","Mon Sep 01 16:12:27 UTC 2025","Mon Sep 01 16:12:31 UTC 2025","4243","","Tests.SignInResetPasswordProfileWEB.ResetPasswordTest","","Tests.SignInResetPasswordProfileWEB.ResetPasswordTest","negativeConfirmingResetPass","negativeConfirmingResetPass()","Check alert about Incorrect Confirmation code in Reset Password 2nd step"
"passed","Mon Sep 01 16:11:47 UTC 2025","Mon Sep 01 16:11:49 UTC 2025","1896","","Tests.CRUDPosts.CreatePostValidationTests","","Tests.CRUDPosts.CreatePostValidationTests","geotechnicalReportLargeFileUploadErrorTest","geotechnicalReportLargeFileUploadErrorTest()","Check Upload Big File Error to Geotechnical Report"
"passed","Mon Sep 01 16:12:32 UTC 2025","Mon Sep 01 16:12:34 UTC 2025","2247","","Tests.SignInResetPasswordProfileWEB.LoginTest","","Tests.SignInResetPasswordProfileWEB.LoginTest","loginNegativeEmailTest","loginNegativeEmailTest()","Check Incorrect email in LogIn Page"
"passed","Mon Sep 01 16:11:36 UTC 2025","Mon Sep 01 16:11:38 UTC 2025","2143","","Tests.CRUDPosts.CreatePostValidationTests","","Tests.CRUDPosts.CreatePostValidationTests","notesFieldInvalidCharsTest","notesFieldInvalidCharsTest()","Check Validation for Notes Field"
"passed","Mon Sep 01 16:11:42 UTC 2025","Mon Sep 01 16:11:45 UTC 2025","2672","","Tests.CRUDPosts.CreatePostValidationTests","","Tests.CRUDPosts.CreatePostValidationTests","priceFieldValidationTest","priceFieldValidationTest()","Check Validation for Price Field"
"passed","Mon Sep 01 16:11:28 UTC 2025","Mon Sep 01 16:11:30 UTC 2025","1717","","Tests.CRUDPosts.CreatePostValidationTests","","Tests.CRUDPosts.CreatePostValidationTests","checkHidedUploadFieldsInSupplyAnalysesAndGeotechnicalReportsTest","checkHidedUploadFieldsInSupplyAnalysesAndGeotechnicalReportsTest()","If Post type is Need: Check Hided Upload Fields In Supply Analyses and Geotechnical Reports"
"passed","Mon Sep 01 16:12:17 UTC 2025","Mon Sep 01 16:12:22 UTC 2025","4260","","Tests.CRUDPosts.CreatePositiveCasesPostsTest","","Tests.CRUDPosts.CreatePositiveCasesPostsTest","createPostWithMinimalOptionsTest","createPostWithMinimalOptionsTest()","Check Create Post only with Required Fields"
"passed","Mon Sep 01 16:12:25 UTC 2025","Mon Sep 01 16:12:27 UTC 2025","1353","","Tests.SignInResetPasswordProfileWEB.ResetPasswordTest","","Tests.SignInResetPasswordProfileWEB.ResetPasswordTest","positivePasswordReq","positivePasswordReq()","Check Correct email in Reset Password"
"passed","Mon Sep 01 16:12:36 UTC 2025","Mon Sep 01 16:12:37 UTC 2025","1652","","Tests.SignInResetPasswordProfileWEB.LoginTest","","Tests.SignInResetPasswordProfileWEB.LoginTest","loginPositiveTest","loginPositiveTest()","Verify that the user can log in with valid credentials"
"passed","Mon Sep 01 16:11:38 UTC 2025","Mon Sep 01 16:11:40 UTC 2025","2157","","Tests.CRUDPosts.CreatePostValidationTests","","Tests.CRUDPosts.CreatePostValidationTests","quantityFieldValidationTest","quantityFieldValidationTest()","Check Validation for Quantity Field"
"passed","Mon Sep 01 16:11:30 UTC 2025","Mon Sep 01 16:11:32 UTC 2025","2213","","Tests.CRUDPosts.CreatePostValidationTests","","Tests.CRUDPosts.CreatePostValidationTests","supplierAnalysisLargeFileUploadErrorTest","supplierAnalysisLargeFileUploadErrorTest()","Check Upload Big File Error to Supplier Analysis"
"passed","Mon Sep 01 16:11:50 UTC 2025","Mon Sep 01 16:12:17 UTC 2025","27375","","Tests.CRUDPosts.CreatePositiveCasesPostsTest","","Tests.CRUDPosts.CreatePositiveCasesPostsTest","createPostWithAllOptionsTest","createPostWithAllOptionsTest()","Check Create Post with All Fields"
"passed","Mon Sep 01 16:11:32 UTC 2025","Mon Sep 01 16:11:36 UTC 2025","3793","","Tests.CRUDPosts.CreatePostValidationTests","","Tests.CRUDPosts.CreatePostValidationTests","sliderDistanceValidationTest","sliderDistanceValidationTest()","Check Validation for Match Distance Slider"
"passed","Mon Sep 01 16:11:40 UTC 2025","Mon Sep 01 16:11:42 UTC 2025","1914","","Tests.CRUDPosts.CreatePostValidationTests","","Tests.CRUDPosts.CreatePostValidationTests","companyNameFieldInvalidCharsTest","companyNameFieldInvalidCharsTest()","Check Validation for Company Name Field"
"passed","Mon Sep 01 16:11:45 UTC 2025","Mon Sep 01 16:11:47 UTC 2025","2573","","Tests.CRUDPosts.CreatePostValidationTests","","Tests.CRUDPosts.CreatePostValidationTests","notesLargeFileUploadErrorTest","notesLargeFileUploadErrorTest()","Check Upload Big File Error to Notes"
