"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Check Create Post with All Fields","7864","createPostWithAllOptionsTest()","","Mon Sep 01 04:36:36 CEST 2025","failed","Mon Sep 01 04:36:44 CEST 2025","","Tests.CRUDPosts.CreatePositiveCasesPostsTest","Tests.CRUDPosts.CreatePositiveCasesPostsTest","createPostWithAllOptionsTest"
"","0","ResetPasswordTest","","Mon Sep 01 04:36:54 CEST 2025","broken","Mon Sep 01 04:36:54 CEST 2025","","Tests.SignInResetPasswordProfileWEB.ResetPasswordTest","Tests.SignInResetPasswordProfileWEB.ResetPasswordTest",""
"Check alert about Incorrect Confirmation code in Reset Password 2nd step","2650","negativeConfirmingResetPass()","","Mon Sep 01 04:43:18 CEST 2025","passed","Mon Sep 01 04:43:21 CEST 2025","","Tests.SignInResetPasswordProfileWEB.ResetPasswordTest","Tests.SignInResetPasswordProfileWEB.ResetPasswordTest","negativeConfirmingResetPass"
"Check Correct email in Reset Password","1039","positivePasswordReq()","","Mon Sep 01 04:43:17 CEST 2025","passed","Mon Sep 01 04:43:18 CEST 2025","","Tests.SignInResetPasswordProfileWEB.ResetPasswordTest","Tests.SignInResetPasswordProfileWEB.ResetPasswordTest","positivePasswordReq"
"Verify that the user can log in with valid credentials","1646","loginPositiveTest()","","Mon Sep 01 04:36:52 CEST 2025","passed","Mon Sep 01 04:36:54 CEST 2025","","Tests.SignInResetPasswordProfileWEB.LoginTest","Tests.SignInResetPasswordProfileWEB.LoginTest","loginPositiveTest"
"Check Incorrect Password in LogIn Page","1179","loginNegativePasswordTest()","","Mon Sep 01 04:36:51 CEST 2025","passed","Mon Sep 01 04:36:52 CEST 2025","","Tests.SignInResetPasswordProfileWEB.LoginTest","Tests.SignInResetPasswordProfileWEB.LoginTest","loginNegativePasswordTest"
"Check Incorrect email in Reset Password","3224","negativePasswordReq()","","Mon Sep 01 04:43:14 CEST 2025","passed","Mon Sep 01 04:43:17 CEST 2025","","Tests.SignInResetPasswordProfileWEB.ResetPasswordTest","Tests.SignInResetPasswordProfileWEB.ResetPasswordTest","negativePasswordReq"
"Check Incorrect email in LogIn Page","1880","loginNegativeEmailTest()","","Mon Sep 01 04:36:49 CEST 2025","passed","Mon Sep 01 04:36:51 CEST 2025","","Tests.SignInResetPasswordProfileWEB.LoginTest","Tests.SignInResetPasswordProfileWEB.LoginTest","loginNegativeEmailTest"
"Check Create Post only with Required Fields","4419","createPostWithMinimalOptionsTest()","","Mon Sep 01 04:36:44 CEST 2025","passed","Mon Sep 01 04:36:48 CEST 2025","","Tests.CRUDPosts.CreatePositiveCasesPostsTest","Tests.CRUDPosts.CreatePositiveCasesPostsTest","createPostWithMinimalOptionsTest"
"","0","CreatePostValidationTests","","Mon Sep 01 04:36:48 CEST 2025","broken","Mon Sep 01 04:36:48 CEST 2025","","Tests.CRUDPosts.CreatePostValidationTests","Tests.CRUDPosts.CreatePostValidationTests",""
